7_days,14_days,21_days,28_days,nth_day,week_day,target
60.0,60.0,60.0,58.0,3,5,58
60.0,60.0,60.0,60.0,4,6,59
60.0,60.0,60.0,60.0,5,0,60
38.0,38.0,35.0,32.0,6,1,48
49.0,46.0,45.0,39.0,7,2,48
52.0,52.0,53.0,53.0,1,4,55
56.0,55.0,55.0,54.0,2,5,58
60.0,60.0,60.0,60.0,3,6,59
60.0,60.0,60.0,60.0,4,0,60
35.0,35.0,34.0,32.0,5,1,48
46.0,45.0,43.0,40.0,6,2,48
60.0,60.0,59.0,54.0,7,3,53
54.0,54.0,55.0,55.0,1,5,58
60.0,60.0,60.0,60.0,2,6,59
60.0,60.0,60.0,60.0,3,0,60
36.0,36.0,35.0,34.0,4,1,48
46.0,47.0,46.0,44.0,5,2,48
60.0,60.0,60.0,56.0,6,3,53
42.0,43.0,42.0,39.0,7,4,48
59.0,58.0,59.0,59.0,1,6,59
60.0,60.0,60.0,60.0,2,0,60
42.0,44.0,44.0,42.0,3,1,48
38.0,40.0,39.0,38.0,4,2,48
54.0,59.0,58.0,56.0,5,3,53
42.0,47.0,45.0,43.0,6,4,48
51.0,58.0,55.0,52.0,7,5,47
60.0,60.0,60.0,60.0,1,0,60
42.0,41.0,42.0,42.0,2,1,48
35.0,35.0,35.0,34.0,3,2,48
57.0,58.0,59.0,56.0,4,3,53
36.0,38.0,39.0,37.0,5,4,48
47.0,48.0,49.0,46.0,6,5,47
60.0,60.0,60.0,60.0,7,6,56
44.0,43.0,44.0,44.0,1,1,48
34.0,34.0,35.0,34.0,2,2,48
53.0,53.0,54.0,53.0,3,3,53
35.0,35.0,35.0,35.0,4,4,48
49.0,49.0,50.0,49.0,5,5,47
60.0,60.0,60.0,60.0,6,6,56
58.0,60.0,60.0,58.0,7,0,55
44.0,43.0,44.0,44.0,1,2,48
50.0,48.0,50.0,49.0,2,3,53
48.0,46.0,47.0,45.0,3,4,48
48.0,45.0,46.0,45.0,4,5,47
60.0,60.0,60.0,60.0,5,6,56
54.0,53.0,55.0,53.0,6,0,55
40.0,39.0,39.0,38.0,7,1,46
54.0,53.0,53.0,53.0,1,3,53
41.0,41.0,41.0,41.0,2,4,48
43.0,43.0,44.0,43.0,3,5,47
60.0,60.0,60.0,60.0,4,6,56
60.0,60.0,60.0,60.0,5,0,55
37.0,40.0,41.0,39.0,6,1,46
42.0,45.0,45.0,44.0,7,2,39
47.0,46.0,46.0,46.0,1,4,48
45.0,45.0,45.0,44.0,2,5,47
60.0,60.0,60.0,60.0,3,6,56
60.0,60.0,60.0,60.0,4,0,55
34.0,35.0,36.0,35.0,5,1,46
37.0,40.0,40.0,39.0,6,2,39
37.0,39.0,39.0,38.0,7,3,47
47.0,46.0,46.0,46.0,1,5,47
60.0,60.0,59.0,59.0,2,6,56
56.0,57.0,58.0,58.0,3,0,55
33.0,34.0,34.0,33.0,4,1,46
