,Date_of_prediction,brand,Actual+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Forecasted+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Slots_Booked+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Error
14,2024-09-05,BingeNBash,39.0,47.0,33,20.0,45.0,43,18.0,30.0,19,9.0,47.0,31,14.0,34.0,25,8.0,35,47.0,33,20.0,45.0,43,18.0,30.0,19,9.0,47.0,31,14.0,34.0,25,8.0,26.0,47.0,33,20.0,45.0,43,18.0,30.0,19,9.0,47.0,31,14.0,34.0,25,8.0,9.333333333333334
15,2024-09-06,others,99.0,84.0,59,38.0,86.0,70,29.0,82.0,78,26.0,58.0,56,10.0,55.0,103,8.0,101,84.0,59,38.0,86.0,70,29.0,82.0,78,26.0,58.0,56,10.0,55.0,103,8.0,75.0,84.0,59,38.0,86.0,70,29.0,82.0,78,26.0,58.0,56,10.0,55.0,103,8.0,16.166666666666668
15,2024-09-06,BingeNBash,47.0,42.0,43,18.0,28.0,19,10.0,42.0,31,15.0,33.0,25,9.0,35.0,49,7.0,33,42.0,43,18.0,28.0,19,10.0,42.0,31,15.0,33.0,25,9.0,35.0,49,7.0,26.0,42.0,43,18.0,28.0,19,10.0,42.0,31,15.0,33.0,25,9.0,35.0,49,7.0,9.5
15,2024-09-06,BingeTown,51.0,48.0,41,26.0,46.0,39,21.0,45.0,35,20.0,41.0,34,11.0,31.0,80,9.0,39,48.0,41,26.0,46.0,39,21.0,45.0,35,20.0,41.0,34,11.0,31.0,80,9.0,32.0,48.0,41,26.0,46.0,39,21.0,45.0,35,20.0,41.0,34,11.0,31.0,80,9.0,15.333333333333334
16,2024-09-07,others,72.0,81.0,70,36.0,67.0,78,27.0,60.0,56,14.0,55.0,103,7.0,59.0,59,10.0,59,81.0,70,36.0,67.0,78,27.0,60.0,56,14.0,55.0,103,7.0,59.0,59,10.0,44.0,81.0,70,36.0,67.0,78,27.0,60.0,56,14.0,55.0,103,7.0,59.0,59,10.0,14.5
16,2024-09-07,BingeNBash,45.0,28.0,19,11.0,47.0,31,20.0,30.0,25,10.0,34.0,49,9.0,45.0,64,13.0,43,28.0,19,11.0,47.0,31,20.0,30.0,25,10.0,34.0,49,9.0,45.0,64,13.0,29.0,28.0,19,11.0,47.0,31,20.0,30.0,25,10.0,34.0,49,9.0,45.0,64,13.0,11.0
16,2024-09-07,BingeTown,45.0,43.0,39,25.0,43.0,35,22.0,41.0,34,11.0,35.0,80,12.0,36.0,42,10.0,41,43.0,39,25.0,43.0,35,22.0,41.0,34,11.0,35.0,80,12.0,36.0,42,10.0,33.0,43.0,39,25.0,43.0,35,22.0,41.0,34,11.0,35.0,80,12.0,36.0,42,10.0,12.333333333333334
17,2024-09-08,others,79.0,65.0,78,34.0,65.0,56,18.0,56.0,103,7.0,62.0,59,11.0,89.0,75,16.0,70,65.0,78,34.0,65.0,56,18.0,56.0,103,7.0,62.0,59,11.0,89.0,75,16.0,46.0,65.0,78,34.0,65.0,56,18.0,56.0,103,7.0,62.0,59,11.0,89.0,75,16.0,15.833333333333334
17,2024-09-08,BingeNBash,27.0,46.0,31,23.0,27.0,25,10.0,43.0,49,15.0,48.0,64,14.0,46.0,44,14.0,19,46.0,31,23.0,27.0,25,10.0,43.0,49,15.0,48.0,64,14.0,46.0,44,14.0,13.0,46.0,31,23.0,27.0,25,10.0,43.0,49,15.0,48.0,64,14.0,46.0,44,14.0,8.166666666666666
17,2024-09-08,BingeTown,44.0,42.0,35,26.0,40.0,34,14.0,41.0,80,15.0,38.0,42,12.0,44.0,42,20.0,39,42.0,35,26.0,40.0,34,14.0,41.0,80,15.0,38.0,42,12.0,44.0,42,20.0,30.0,42.0,35,26.0,40.0,34,14.0,41.0,80,15.0,38.0,42,12.0,44.0,42,20.0,10.5
18,2024-09-09,BingeNBash,41.0,34.0,25,18.0,36.0,49,17.0,40.0,64,14.0,48.0,44,18.0,50.0,36,17.0,31,34.0,25,18.0,36.0,49,17.0,40.0,64,14.0,48.0,44,18.0,50.0,36,17.0,28.0,34.0,25,18.0,36.0,49,17.0,40.0,64,14.0,48.0,44,18.0,50.0,36,17.0,12.333333333333334
18,2024-09-09,BingeTown,44.0,40.0,34,15.0,40.0,80,19.0,37.0,42,13.0,46.0,42,19.0,48.0,52,29.0,35,40.0,34,15.0,40.0,80,19.0,37.0,42,13.0,46.0,42,19.0,48.0,52,29.0,25.0,40.0,34,15.0,40.0,80,19.0,37.0,42,13.0,46.0,42,19.0,48.0,52,29.0,11.333333333333334
18,2024-09-09,others,67.0,62.0,56,20.0,56.0,103,6.0,60.0,59,11.0,85.0,75,17.0,82.0,94,16.0,78,62.0,56,20.0,56.0,103,6.0,60.0,59,11.0,85.0,75,17.0,82.0,94,16.0,39.0,62.0,56,20.0,56.0,103,6.0,60.0,59,11.0,85.0,75,17.0,82.0,94,16.0,14.5
19,2024-09-10,BingeTown,43.0,38.0,80,21.0,43.0,42,18.0,51.0,42,21.0,49.0,52,32.0,43.0,31,12.0,34,38.0,80,21.0,43.0,42,18.0,51.0,42,21.0,49.0,52,32.0,43.0,31,12.0,27.0,38.0,80,21.0,43.0,42,18.0,51.0,42,21.0,49.0,52,32.0,43.0,31,12.0,12.666666666666666
19,2024-09-10,others,65.0,56.0,103,13.0,67.0,59,18.0,91.0,75,23.0,77.0,94,22.0,71.0,49,0.0,56,56.0,103,13.0,67.0,59,18.0,91.0,75,23.0,77.0,94,22.0,71.0,49,0.0,34.0,56.0,103,13.0,67.0,59,18.0,91.0,75,23.0,77.0,94,22.0,71.0,49,0.0,19.833333333333332
19,2024-09-10,BingeNBash,34.0,36.0,49,19.0,38.0,64,16.0,46.0,44,20.0,51.0,36,17.0,31.0,26,5.0,25,36.0,49,19.0,38.0,64,16.0,46.0,44,20.0,51.0,36,17.0,31.0,26,5.0,21.0,36.0,49,19.0,38.0,64,16.0,46.0,44,20.0,51.0,36,17.0,31.0,26,5.0,11.666666666666666
20,2024-09-11,BingeTown,39.0,41.0,42,21.0,50.0,42,26.0,48.0,52,34.0,42.0,31,14.0,39.0,25,5.0,80,41.0,42,21.0,50.0,42,26.0,48.0,52,34.0,42.0,31,14.0,39.0,25,5.0,31.0,41.0,42,21.0,50.0,42,26.0,48.0,52,34.0,42.0,31,14.0,39.0,25,5.0,13.166666666666666
20,2024-09-11,others,58.0,69.0,59,24.0,93.0,75,27.0,79.0,94,25.0,73.0,49,1.0,56.0,49,8.0,103,69.0,59,24.0,93.0,75,27.0,79.0,94,25.0,73.0,49,1.0,56.0,49,8.0,19.0,69.0,59,24.0,93.0,75,27.0,79.0,94,25.0,73.0,49,1.0,56.0,49,8.0,19.833333333333332
20,2024-09-11,BingeNBash,38.0,39.0,64,20.0,47.0,44,25.0,47.0,36,19.0,31.0,26,7.0,30.0,24,6.0,49,39.0,64,20.0,47.0,44,25.0,47.0,36,19.0,31.0,26,7.0,30.0,24,6.0,25.0,39.0,64,20.0,47.0,44,25.0,47.0,36,19.0,31.0,26,7.0,30.0,24,6.0,10.166666666666666
21,2024-09-12,BingeTown,47.0,44.0,42,91.0,49.0,52,92.0,48.0,31,71.0,48.0,25,62.0,49.0,37,70.0,42,44.0,42,91.0,49.0,52,92.0,48.0,31,71.0,48.0,25,62.0,49.0,37,70.0,83.0,44.0,42,91.0,49.0,52,92.0,48.0,31,71.0,48.0,25,62.0,49.0,37,70.0,10.333333333333334
